id,en,es
TELMORI_HILLS_SEARCH_DAY1_NOTHING,"You comb the slope inch by inch until the light starts to fail, finding nothing worth following — trodden grass, maybe, but it could be anything. You make camp with the last of the light. That night, something howls in the hills, more than once. No one sleeps very well.","Peináis la ladera palmo a palmo hasta que la luz empieza a fallar, sin nada que merezca la pena seguir — hierba pisada, quizás, pero podría ser de cualquier cosa. Acampáis con la última luz. Esa noche, algo aúlla en las colinas, más de una vez. Nadie duerme del todo bien."
TELMORI_HILLS_SEARCH_DAY1_NOTHING_OPTION_CONTINUE,Wait for dawn.,Esperar al amanecer.
TELMORI_HILLS_SEARCH_DAY1_TRACKS,"You find them near the stream: large tracks, too far apart for an ordinary wolf, sunk into the mud with a weight that doesn't add up to four legs. They fade out toward the high hills. You camp following the trail as far as the light allows. That night, something howls, close — closer than anyone would like.","Las encontráis cerca del arroyo: huellas grandes, demasiado espaciadas para un lobo corriente, hundidas en el barro con un peso que no cuadra con cuatro patas. Se pierden hacia las colinas altas. Acampáis siguiendo el rastro hasta donde da la luz. Esa noche, algo aúlla, cerca — más cerca de lo que a nadie le gustaría."
TELMORI_HILLS_SEARCH_DAY1_TRACKS_OPTION_CONTINUE,Follow the trail at dawn.,Seguir el rastro al amanecer.
TELMORI_HILLS_SEARCH_DAY1_MAULED_SHEEP,"The same large tracks lead you to the remains of a sheep, half-buried under a bramble — no ordinary wolf killed this: among the bite marks are some that only a human jaw could leave, mixed in with the rest. You make camp with your stomach turning. That night, the howls sound almost right on top of the camp, and for a moment you could swear you hear something that isn't quite a howl.","Las mismas huellas grandes os llevan hasta los restos de una oveja, medio enterrada bajo una zarza — no la mató un lobo cualquiera: entre los mordiscos hay marcas que solo puede dejar una mandíbula humana, mezcladas con las otras. Acampáis con el estómago revuelto. Esa noche, los aullidos suenan casi encima del campamento, y por un instante juraríais oír algo que no es del todo un aullido."
TELMORI_HILLS_SEARCH_DAY1_MAULED_SHEEP_OPTION_CONTINUE,"Follow the trail at dawn, more carefully than before.","Seguir el rastro al amanecer, con más cuidado que antes."
TELMORI_DAY2_APPROACH,"The trail leads you to a clearing among rocks, with thick brush on both sides of the path — the only practicable way through for quite a stretch. Something about the silence is wrong: no birds, and the wind isn't moving the branches the way it should.","El rastro os lleva a un claro entre rocas, con matorrales espesos a ambos lados del sendero — el único paso practicable en un buen trecho. Algo en el silencio no encaja: ni pájaros, ni el viento moviendo las ramas como debería."
TELMORI_DAY2_APPROACH_OPTION_ADVANCE,"Advance through the clearing, watching for any movement.","Avanzar por el claro, atentos a cualquier movimiento."
TELMORI_POST_AMBUSH_TRACKING,"With the attackers dead or fled, the clearing's ground holds its own story — footprints, blood, broken branches all pointing one way. If the trail doesn't go cold, it should lead to wherever the rest are hiding.","Con los atacantes muertos o huidos, el suelo del claro guarda su propia historia — pisadas, sangre, ramas rotas en una dirección concreta. Si el rastro no se enfría, debería llevar hasta donde se esconden los que faltan."
TELMORI_POST_AMBUSH_TRACKING_OPTION_TRACK,Follow the trail up the hill.,Seguir el rastro colina arriba.
TELMORI_GUARIDA_DOOR,"The trail leaves you at the edge of a small valley. On the other side, a cave mouth opens in the rock, black even in broad daylight. Two enormous wolves stand guard by the entrance, still, as if they'd been there forever. Whatever's left of the Telmori, it's in there.","El rastro os deja al borde de un pequeño valle. Al otro lado, una boca de caverna se abre en la roca, negra incluso a plena luz del día. Dos lobos enormes montan guardia junto a la entrada, quietos, como si llevaran ahí toda la vida. Sea lo que sea lo que queda de los Telmori, está ahí dentro."
TELMORI_GUARIDA_DOOR_OPTION_CONTINUE,Study the entrance before getting any closer.,Estudiar la entrada antes de acercaros más.
